datetime,open,high,low,close,volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2017-10-23,293.78,294.6,272.2,281.09,9658.78404,1508803199999,2743010.98770280,6524,5255.49466000,1493898.23833240,125082.04163325
2017-10-24,282.27,310.0,275.5,297.38,14066.67924,1508889599999,4253110.31958060,8026,8185.36518000,2480346.53838040,126854.43540945
2017-10-25,295.43,300.0,281.0,294.49,9703.09261,1508975999999,2840747.38462630,6796,4062.96246000,1191187.65210590,125542.11511266
2017-10-26,294.1,299.76,291.03,294.71,7813.02717,1509062399999,2306446.33373280,6557,3502.44576000,1034906.29061690,125015.67905729
2017-10-27,294.72,298.1,292.03,296.33,6272.14802,1509148799999,1852704.41610560,5899,2478.34843000,733169.15119110,124973.01333668
2017-10-28,296.14,297.0,290.1,291.87,5848.86589,1509235199999,1715796.79419360,5589,2343.52663000,688114.52484540,125258.48079811
2017-10-29,291.86,309.4,291.86,305.0,9019.13315,1509321599999,2716332.81538860,6947,3673.09724000,1108293.78868600,125571.89318978
2017-10-30,305.0,316.0,302.1,307.25,8946.12026,1509407999999,2751568.63653630,6421,4751.89487000,1464093.31403040,131298.78341356
2017-10-31,305.95,309.99,304.01,304.9,7640.41182,1509494399999,2347542.86483170,7744,3070.74748000,944596.83436610,132027.26666399
2017-11-01,304.89,305.9,286.34,287.01,9843.1666,1509580799999,2948801.70630060,12038,3264.61810000,981818.75799190,136742.86382963
2017-11-02,287.3,293.0,274.73,283.12,13423.8572,1509667199999,3810829.65967330,13600,4726.14435000,1347012.89710220,141653.48167664
2017-11-03,283.12,307.0,282.0,304.08,8194.03465,1509753599999,2400297.63478160,8973,3439.34248000,1009675.17280160,147417.10443676
2017-11-04,304.09,304.99,292.11,298.04,7828.41744,1509839999999,2333944.76080540,9036,3652.33313000,1089665.53387680,149491.74328532
2017-11-05,298.1,302.14,293.13,295.53,6638.42119,1509926399999,1974433.01351300,7513,3403.76089000,1013349.96785480,163794.63009765
2017-11-06,295.19,305.58,290.11,297.97,7515.50103,1510012799999,2233482.61226260,7898,2768.12495000,823872.97235370,157485.37350833
2017-11-07,297.25,303.52,287.0,291.78,9418.57881,1510099199999,2765345.58277720,8788,3541.77071000,1041355.93712190,163370.12620204
2017-11-08,291.31,320.0,290.02,303.02,15961.85772,1510185599999,4839176.80681300,14402,7621.19678000,2314876.90423270,170293.23529459
2017-11-09,303.6,329.0,299.5,317.87,11151.29946,1510271999999,3527294.75033460,8208,5438.08042000,1718346.82313360,182606.27147864
2017-11-10,318.5,322.65,285.82,293.5,15597.16557,1510358399999,4762536.58505160,9253,7799.91110000,2384691.48162940,184373.23549784
2017-11-11,293.52,318.0,291.91,310.02,10850.16279,1510444799999,3282643.02778610,8646,5001.69556000,1515726.73249730,189047.13995797
2017-11-12,310.87,316.99,281.01,305.24,21123.15319,1510531199999,6345603.77067890,13661,9589.62986000,2900669.99649220,194784.51476628
2017-11-13,304.0,318.88,303.7,312.99,15551.67434,1510617599999,4852265.39556490,9066,7170.70938000,2242103.28455420,193411.39559092
2017-11-14,313.0,337.54,312.94,335.61,17709.2227,1510703999999,5756893.45279360,11711,8919.59659000,2901086.07391940,210416.64859479
2017-11-15,335.6,339.0,324.0,331.33,15597.16131,1510790399999,5178507.45727470,10036,7036.50640000,2338129.61772320,210061.72753020
2017-11-16,330.98,334.75,321.41,331.49,14145.71696,1510876799999,4638262.26258350,9493,6014.42341000,1974043.71963710,208793.34295029
2017-11-17,331.49,334.6,323.84,331.23,18042.02544,1510963199999,5954175.94002110,11548,9389.65878000,3102187.46822190,204195.19355885
2017-11-18,331.2,349.9,326.01,346.66,14361.4973,1511049599999,4780354.33540800,10690,7672.43904000,2559237.11231930,209185.67909234
2017-11-19,346.66,373.56,343.07,354.15,19397.74898,1511135999999,6895884.06240290,10509,9931.92637000,3532022.48459880,223647.70668788
2017-11-20,355.15,372.5,353.9,367.42,18277.0194,1511222399999,6600961.95826400,11553,9171.44481000,3318132.25711670,227357.06576793
2017-11-21,367.42,375.5,350.02,362.12,26237.64398,1511308799999,9556690.23124020,14762,12579.43792000,4586895.60417160,236531.49066778
2017-11-22,362.12,384.84,359.0,380.65,18121.58484,1511395199999,6654403.08984950,10386,9745.17516000,3590374.52725740,252955.66138206
2017-11-23,380.63,425.0,370.02,405.0,25409.00111,1511481599999,10084943.08955680,12731,14505.14543000,5758239.63409830,268877.25536221
2017-11-24,405.03,475.0,392.8,469.0,30398.35831,1511567999999,13089282.21147210,15706,15383.97249000,6660202.96463250,261817.15191048
2017-11-25,467.57,484.47,450.0,461.82,21428.63117,1511654399999,9958206.25645530,13282,9560.74839000,4449274.46174910,263724.70692730
2017-11-26,461.0,465.0,436.14,462.84,21691.11759,1511740799999,9854650.94320160,13955,9455.95178000,4305399.47918360,264872.45071353
2017-11-27,462.84,486.94,453.0,472.31,23761.11416,1511827199999,11199192.40160950,15797,10794.57638000,5093374.57829720,260705.71717783
2017-11-28,472.32,477.5,453.5,466.17,23967.24816,1511913599999,11224970.93342870,12944,10904.08622000,5113522.34317900,258884.67559160
2017-11-29,466.17,515.0,385.0,421.7,51313.49571,1511999999999,23657537.25119300,23835,23825.39377000,11029389.68104540,259504.35194055
2017-11-30,421.92,460.0,387.01,427.43,45184.22265,1512086399999,19125706.00076650,22805,24018.42012000,10172953.09608460,270225.69708239
2017-12-01,428.05,465.97,413.74,457.51,33072.21995,1512172799999,14471054.86973500,19944,19043.24922000,8328610.98144120,269562.18933427
2017-12-02,457.53,471.91,445.0,457.63,25796.14,1512259199999,11883272.79966420,18388,12336.59141000,5685998.30529220,264122.66674083
2017-12-03,457.31,485.9,440.11,460.3,24490.05997,1512345599999,11436416.92419770,21404,12239.10293000,5721801.05345790,270057.36612993
2017-12-04,460.3,470.98,445.0,466.67,23182.65949,1512431999999,10662508.84976440,20049,11708.14715000,5390172.69773930,278606.01147278
2017-12-05,466.66,468.67,445.21,452.26,25387.11695,1512518399999,11663673.28648950,19373,12902.22244000,5935255.77723800,307810.37312273
2017-12-06,452.26,455.1,400.0,411.01,38638.76036,1512604799999,16767914.25660970,24522,16000.21644000,6945785.89973760,324290.08086243
2017-12-07,413.5,427.61,375.01,406.33,41343.73269,1512691199999,16842079.09190120,30163,17174.99356000,7025122.81211470,310293.11559350
2017-12-08,406.52,456.78,390.0,442.56,41064.60305,1512777599999,17430991.95905210,42348,17149.63290000,7318210.62440880,317685.38202946
2017-12-09,442.56,488.0,426.4,460.0,41918.34044,1512863999999,19341744.41303860,35517,20439.87165000,9429536.53392380,344943.86873932
